dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.8	0.9	0.0	0.8	1.8	0.8	26491.6	0.9	114.942528735632
40	0.8	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
60	0.5	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
80	1.5	1.0	0.0	0.5	2.0	0.8	35155.7	0.6	200
100	1.0	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
120	0.9	0.8	0.0	0.4	2.0	0.6	45346.8	0.4	257.894736842105
140	1.3	1.0	0.0	0.4	2.0	0.7	39750.1	0.5	256.410256410256
160	1.1	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
180	0.9	0.8	0.0	0.3	1.8	0.6	43982.6	0.3	322.58064516129
200	1.5	1.0	0.0	0.7	1.8	0.8	34458.3	0.7	163.934426229508
