dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.7	0.9	0.0	0.8	1.8	0.8	24062.6	0.9	119.753086419753
40	0.9	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
60	0.5	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
80	1.7	1.0	0.0	0.8	2.0	0.9	29720.6	0.8	129.87012987013
100	0.8	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
120	0.5	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
140	1.5	0.9	0.0	0.7	2.0	0.9	33650.6	0.7	136.986301369863
160	0.9	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
180	0.7	1.0	0.0	0.1	0.4	0.1	31595.8	0.3	1200
200	1.6	0.9	0.0	0.8	2.0	0.8	22959.8	1.1	112.19512195122
