dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.7	0.9	0.0	0.8	2.0	0.8	26487.2	0.8	119.047619047619
40	1.4	1.0	0.0	0.5	1.8	0.8	36896.7	0.5	217.391304347826
60	1.5	1.0	0.0	0.5	1.8	0.8	35013.8	0.6	200
80	1.5	1.0	0.0	0.5	2.0	0.8	35354.4	0.6	181.818181818182
100	1.5	1.0	0.0	0.5	2.0	0.8	36101.2	0.6	196.078431372549
120	1.5	1.0	0.0	0.6	1.8	0.8	32544.5	0.6	172.413793103448
140	1.5	1.0	0.0	0.5	1.8	0.8	34319.8	0.6	188.679245283019
160	1.6	1.0	0.0	0.7	2.0	0.8	32705.3	0.7	151.515151515152
180	1.1	1.0	0.0	0.1	1.8	0.4	47086.4	0.2	1000
200	1.8	0.9	0.0	1.0	2.0	0.9	31100.3	1.0	100
