dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	0.5	0.5	0.4	0.4	0.6	0.1	10946.0	2.5	0
40	0.5	0.5	0.4	0.4	0.6	0.1	11119.1	2.5	0
60	0.5	0.5	0.4	0.4	0.6	0.1	11286.2	2.4	0
80	0.5	0.5	0.4	0.4	0.6	0.1	11351.2	2.4	0
100	0.5	0.5	0.4	0.4	0.6	0.1	11120.8	2.5	0
120	0.5	0.5	0.4	0.4	0.6	0.1	11248.1	2.4	0
140	0.5	0.5	0.4	0.5	0.6	0.1	10552.3	2.7	0
160	0.5	0.5	0.4	0.5	0.6	0.1	10363.9	2.7	0
180	0.5	0.5	0.4	0.5	0.6	0.1	10259.0	2.7	0
200	0.5	0.5	0.4	0.5	0.6	0.1	10374.5	2.7	0
