dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.2	1.2	1.0	1.0	1.0	0.0	4552.6	4.3	0
40	1.2	1.2	1.2	1.2	1.2	0.0	4482.8	4.4	0
60	1.2	1.2	1.0	1.0	1.0	0.0	4766.7	4.3	0
80	1.2	1.2	1.2	1.2	1.2	0.0	4514.3	4.5	0
100	1.2	1.2	1.0	1.0	1.0	0.0	4713.2	4.2	0
120	1.0	1.0	0.8	0.9	1.0	0.1	5006.9	3.6	0
140	1.0	1.0	0.8	0.9	1.0	0.1	6033.1	3.5	0
160	1.2	1.2	1.2	1.2	1.2	0.0	4544.1	4.5	0
180	1.3	1.3	1.2	1.2	1.2	0.0	4252.2	4.6	0
200	1.1	1.1	1.0	1.0	1.0	0.0	4889.5	4.0	0
