dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.7	1.0	0.0	0.8	1.8	0.8	23298.5	1.1	124.050632911392
40	0.8	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
60	0.4	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
80	0.7	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
100	1.5	1.0	0.0	0.5	1.8	0.8	33495.5	0.7	181.818181818182
120	1.0	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
140	0.4	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
160	1.4	1.0	0.0	0.4	1.8	0.7	36759.9	0.6	250
180	1.1	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
200	0.9	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
