dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.8	0.9	0.0	0.9	2.0	0.9	25307.5	1.2	103.191489361702
40	1.3	1.0	0.0	0.3	1.6	0.7	39916.3	0.5	303.030303030303
60	1.6	1.0	0.0	0.7	2.2	0.9	33631.7	0.8	151.515151515152
80	1.3	1.0	0.0	0.3	1.8	0.6	41038.5	0.5	312.5
100	1.3	1.0	0.0	0.3	1.4	0.6	38251.1	0.5	303.030303030303
120	1.6	1.0	0.0	0.7	2.0	0.9	34358.3	0.8	149.253731343284
140	1.5	1.0	0.0	0.6	2.0	0.9	35597.4	0.8	169.491525423729
160	1.5	1.0	0.0	0.5	2.0	0.8	36262.5	0.7	196.078431372549
180	1.4	1.0	0.0	0.5	1.8	0.8	36077.2	0.7	217.391304347826
200	1.4	1.0	0.0	0.5	1.8	0.8	37265.0	0.7	208.333333333333
