dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.8	0.9	0.0	0.9	2.0	0.8	26270.2	1.2	105.494505494505
40	1.1	1.0	0.0	0.2	1.8	0.5	44391.5	0.4	588.235294117647
60	1.6	1.0	0.0	0.6	1.8	0.8	33299.8	0.8	161.290322580645
80	1.3	1.0	0.0	0.3	1.8	0.7	41571.0	0.5	312.5
100	1.5	1.0	0.0	0.5	2.0	0.8	35678.0	0.7	188.679245283019
120	1.4	1.0	0.0	0.5	2.0	0.8	36885.2	0.7	212.765957446808
140	1.3	1.0	0.0	0.3	2.0	0.7	41416.2	0.5	312.5
160	1.5	1.0	0.0	0.5	1.8	0.7	34865.8	0.7	200
180	1.2	1.0	0.0	0.3	1.8	0.6	42373.1	0.5	370.37037037037
200	1.6	1.0	0.0	0.7	2.0	0.9	35190.2	0.9	147.761194029851
