dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.7	1.0	0.0	0.7	1.8	0.7	22937.3	0.9	130.666666666667
40	1.2	1.0	0.0	0.2	1.8	0.6	43397.8	0.5	400
60	1.5	1.0	0.0	0.5	2.0	0.8	35611.8	0.7	185.185185185185
80	1.7	1.0	0.0	0.9	2.0	0.9	33111.3	1.2	102.247191011236
100	1.4	0.8	0.0	0.7	2.2	0.9	37529.1	1.0	118.666666666667
120	1.9	1.0	0.0	1.1	2.2	1.0	26032.0	1.5	80.9090909090909
140	1.4	0.9	0.0	0.7	2.2	0.8	39087.1	1.2	112
160	1.8	0.9	0.0	1.0	2.2	1.0	25802.6	1.4	82.5688073394495
180	1.5	0.9	0.0	0.9	2.2	0.9	36373.6	1.1	104.597701149425
200	1.8	0.9	0.0	1.1	2.2	1.0	33089.4	1.4	80.9090909090909
