dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.6	1.0	0.0	0.7	1.8	0.7	24020.5	1.1	132.432432432432
40	0.8	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
60	0.5	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
80	0.7	1.0	0.0	0.0	0.2	0.0	33289.0	0.3	4950
100	1.7	1.0	0.0	0.8	2.0	0.7	24722.2	1.0	126.923076923077
120	0.7	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
140	0.4	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
160	0.5	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
180	1.4	1.0	0.0	0.4	1.6	0.6	36578.9	0.6	256.410256410256
200	1.1	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
