dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	0.5	0.5	0.4	0.4	0.6	0.1	11891.3	4.0	0
40	0.5	0.5	0.4	0.4	0.6	0.1	11705.7	4.1	0
60	0.5	0.5	0.4	0.5	0.6	0.1	11806.3	4.1	0
80	0.4	0.4	0.2	0.4	0.4	0.1	14021.0	3.5	0
100	0.4	0.4	0.4	0.4	0.4	0.0	13041.3	3.7	0
120	0.3	0.3	0.2	0.3	0.4	0.1	16710.3	2.9	0
140	0.4	0.4	0.2	0.4	0.4	0.1	14539.2	3.3	0
160	0.4	0.4	0.2	0.4	0.4	0.1	14135.7	3.3	0
180	0.3	0.3	0.2	0.3	0.4	0.1	16138.0	3.0	0
200	0.4	0.4	0.2	0.4	0.6	0.2	14329.0	3.3	0
