dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.0	1.0	0.8	0.8	0.8	0.0	5294.6	5.5	0
40	1.1	1.1	1.0	1.0	1.0	0.0	5137.0	5.8	0
60	1.1	1.1	1.0	1.0	1.0	0.0	5010.6	5.8	0
80	1.1	1.1	1.0	1.0	1.0	0.0	5049.3	5.8	0
100	1.0	1.0	0.8	0.8	0.8	0.0	5666.6	5.3	0
120	1.1	1.1	1.0	1.0	1.0	0.0	5131.0	5.9	0
140	1.2	1.2	1.0	1.0	1.0	0.0	4793.9	6.1	0
160	1.0	1.0	1.0	1.0	1.0	0.0	4915.9	5.3	0
180	0.9	0.9	0.6	0.8	1.0	0.3	5816.2	4.7	0
200	1.0	1.0	1.0	1.0	1.0	0.0	5178.8	5.5	0
