dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	0.9	0.9	0.8	0.9	1.0	0.1	6027.6	4.6	0
40	0.9	0.9	0.8	0.9	1.0	0.1	5796.6	4.6	0
60	0.9	0.9	0.8	0.8	0.8	0.0	6452.7	4.4	0
80	0.9	0.9	0.8	0.8	0.8	0.0	6182.4	4.5	0
100	0.8	0.8	0.6	0.7	0.8	0.1	6847.7	4.0	0
120	0.9	0.9	0.8	0.8	0.8	0.0	5871.3	4.5	0
140	0.9	0.9	0.8	0.8	0.8	0.0	6366.0	4.5	0
160	1.0	1.0	0.8	0.9	1.0	0.1	5556.0	5.0	0
180	1.0	1.0	0.8	0.9	1.0	0.1	5308.4	4.9	0
200	0.8	0.8	0.6	0.7	0.8	0.1	7303.6	4.0	0
