dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.0	1.0	0.8	0.9	1.0	0.1	5020.1	3.6	0
40	0.9	0.9	0.8	0.8	0.8	0.0	6218.2	3.2	0
60	1.0	1.0	0.8	0.9	1.0	0.1	5662.5	3.6	0
80	1.1	1.1	1.0	1.0	1.0	0.0	5277.9	4.0	0
100	1.1	1.1	0.8	0.8	0.8	0.0	5294.1	3.9	0
120	0.8	0.8	0.6	0.7	0.8	0.1	6802.9	3.0	0
140	1.0	1.0	1.0	1.0	1.0	0.0	4970.5	3.8	0
160	0.9	0.9	0.8	0.9	1.0	0.1	5988.6	3.4	0
180	1.1	1.1	1.0	1.0	1.0	0.0	5010.1	3.9	0
200	1.0	1.0	1.0	1.0	1.0	0.0	5217.7	3.8	0
