dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	2.9	1.9	0.0	1.1	2.4	1.0	27439.8	1.9	160.869565217391
40	2.3	1.6	0.0	0.9	2.4	0.9	38336.9	1.7	172.093023255814
60	2.3	1.6	0.0	0.8	2.2	0.9	36400.2	1.4	196.20253164557
80	2.3	1.6	0.0	0.8	2.2	1.0	36287.5	1.4	197.435897435897
100	2.4	1.7	0.0	0.9	2.4	1.0	34784.9	1.5	185.057471264368
120	2.4	1.7	0.0	0.9	2.4	1.0	35614.7	1.6	178.651685393258
140	2.4	1.7	0.0	0.9	2.4	1.0	35978.2	1.7	175.555555555556
160	2.4	1.7	0.0	0.7	2.4	1.0	33166.9	0.9	234.246575342466
180	2.2	1.6	0.0	0.7	2.2	0.9	36496.8	1.2	215.492957746479
200	2.4	1.7	0.0	0.7	2.4	1.0	30905.5	0.9	238.888888888889
