dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	2.8	1.8	0.0	1.0	2.4	1.0	24795.6	1.2	191.089108910891
40	2.2	1.6	0.0	0.8	2.2	0.9	37125.3	1.4	198.701298701299
60	2.5	1.7	0.0	0.8	2.2	1.0	33781.5	1.1	209.756097560976
80	2.2	1.6	0.0	0.8	2.4	1.0	36864.8	1.5	192.307692307692
100	2.2	1.6	0.0	0.7	2.4	0.9	36522.6	1.0	233.333333333333
120	2.5	1.8	0.0	0.9	2.4	1.0	33636.8	1.6	176.595744680851
140	2.2	1.6	0.0	0.6	2.4	0.9	35362.5	0.9	250
160	2.3	1.6	0.0	0.7	2.2	0.9	34405.5	1.1	223.287671232877
180	2.3	1.6	0.0	0.7	2.4	0.9	34961.9	1.1	218.918918918919
200	2.2	1.6	0.0	0.7	2.4	0.9	35907.9	1.2	220
