dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	2.8	1.9	0.0	1.0	2.2	1.0	24717.7	1.3	191.089108910891
40	1.7	1.4	0.0	0.5	2.4	0.8	42286.4	1.0	270.833333333333
60	2.4	1.7	0.0	0.7	2.2	0.9	29114.5	0.9	233.333333333333
80	2.0	1.5	0.0	0.6	2.2	0.9	39001.0	1.1	235.483870967742
100	2.3	1.6	0.0	0.7	2.2	0.9	32896.3	0.8	247.058823529412
120	1.9	1.4	0.0	0.5	2.4	0.8	39482.4	0.9	262.962962962963
140	2.5	1.7	0.0	0.8	2.4	1.0	32181.3	1.2	206.024096385542
160	2.0	1.5	0.0	0.5	2.2	0.9	37493.9	0.7	288.461538461538
180	2.3	1.6	0.0	0.6	2.2	0.9	32644.6	0.8	253.846153846154
200	2.2	1.6	0.0	0.7	2.4	1.0	37252.9	1.3	211.111111111111
