dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	2.9	1.9	0.0	1.1	2.4	1.0	25473.0	1.8	165.486725663717
40	2.3	1.6	0.0	0.8	2.2	0.9	37069.7	1.5	188.888888888889
60	2.4	1.7	0.0	0.8	2.2	0.9	34275.6	1.4	191.764705882353
80	2.2	1.6	0.0	0.8	2.2	0.9	37898.0	1.4	197.368421052632
100	2.5	1.7	0.0	0.9	2.2	1.0	34111.2	1.6	177.41935483871
120	2.4	1.7	0.0	0.8	2.2	1.0	35494.5	1.5	189.156626506024
140	2.4	1.7	0.0	0.8	2.4	1.0	35531.7	1.5	187.058823529412
160	2.4	1.7	0.0	0.9	2.2	1.0	34948.0	1.6	178.651685393258
180	2.4	1.7	0.0	0.9	2.2	0.9	36189.5	1.6	181.395348837209
200	2.4	1.7	0.0	0.8	2.2	1.0	34955.3	1.5	189.411764705882
