dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	2.9	1.9	0.0	1.1	2.4	1.0	25108.5	1.5	177.777777777778
40	2.2	1.6	0.0	0.8	2.2	0.9	38484.1	1.5	190.909090909091
60	2.1	1.6	0.0	0.6	2.2	0.9	34852.1	0.8	263.333333333333
80	2.4	1.7	0.0	0.8	2.4	1.0	34228.0	1.3	202.439024390244
100	2.3	1.6	0.0	0.8	2.2	1.0	36719.5	1.6	184.33734939759
120	2.5	1.7	0.0	0.9	2.4	1.0	34379.2	1.6	179.120879120879
140	2.0	1.5	0.0	0.5	2.2	0.9	36085.5	0.7	285.185185185185
160	2.1	1.6	0.0	0.6	2.2	0.9	35758.2	0.8	263.333333333333
180	1.8	1.4	0.0	0.5	2.4	0.9	41838.5	1.1	250
200	2.5	1.7	0.0	0.8	2.4	1.0	32595.7	1.2	207.317073170732
