dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	0.6	0.6	0.0	0.5	0.8	0.5	11890.0	5.0	0
40	0.5	0.5	0.0	0.3	0.8	0.4	12643.5	4.7	0
60	0.5	0.5	0.0	0.5	0.8	0.4	12301.7	4.7	0
80	0.5	0.5	0.0	0.5	0.8	0.5	12366.1	4.7	0
100	0.6	0.6	0.0	0.5	0.8	0.5	12317.0	4.9	0
120	0.6	0.6	0.0	0.5	0.8	0.5	11485.9	5.1	0
140	0.6	0.6	0.0	0.5	0.8	0.4	12924.6	4.8	0
160	0.6	0.6	0.0	0.5	0.8	0.5	12044.9	5.0	0
180	0.6	0.6	0.0	0.5	0.8	0.4	12008.6	4.9	0
200	0.6	0.6	0.0	0.5	0.8	0.4	12089.5	4.9	0
