dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.0	1.0	0.6	0.8	1.0	0.3	6993.3	4.8	0
40	1.0	1.0	0.8	0.9	1.0	0.1	6892.5	4.9	0
60	1.0	1.0	0.8	0.8	0.8	0.0	6835.2	5.0	0
80	1.2	1.2	0.8	0.8	0.8	0.0	5813.0	5.8	0
100	1.2	1.2	0.8	0.8	0.8	0.0	5878.7	5.8	0
120	1.2	1.2	0.8	0.8	0.8	0.0	5546.3	6.0	0
140	1.2	1.2	0.8	0.8	0.8	0.0	5426.8	6.2	0
160	1.3	1.3	0.8	0.8	0.8	0.0	5289.1	6.3	0
180	1.3	1.3	0.8	0.8	0.8	0.0	5255.6	6.5	0
200	1.2	1.2	0.8	0.8	0.8	0.0	5882.3	5.8	0
