dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.3	1.3	0.8	0.8	0.8	0.0	4914.4	4.8	0
40	1.4	1.4	1.0	1.0	1.0	0.0	4497.6	5.1	0
60	1.5	1.5	0.8	0.8	0.8	0.0	4559.8	5.3	0
80	1.3	1.3	0.8	0.8	0.8	0.0	5374.2	4.7	0
100	1.4	1.4	0.8	0.8	0.8	0.0	4677.5	5.2	0
120	1.4	1.4	0.8	0.8	0.8	0.0	4797.4	5.1	0
140	1.4	1.4	0.8	0.8	0.8	0.0	4732.0	5.1	0
160	1.4	1.4	0.8	0.8	0.8	0.0	4735.5	5.0	0
180	1.2	1.2	0.8	0.8	0.8	0.0	5259.0	4.4	0
200	1.4	1.4	0.8	0.8	0.8	0.0	5016.9	5.0	0
