starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:56:11 2013	1372002971	0	2341	2341	2341
Sun Jun 23 15:56:09 2013	1372002969	0	2395	2395	2395
Sun Jun 23 15:56:07 2013	1372002967	0	2519	2519	2519
Sun Jun 23 15:56:01 2013	1372002961	0	2834	2834	2834
Sun Jun 23 15:55:58 2013	1372002958	0	2917	2917	2916
Sun Jun 23 15:55:52 2013	1372002952	0	2925	2925	2924
Sun Jun 23 15:56:14 2013	1372002974	0	3016	3017	3016
Sun Jun 23 15:55:55 2013	1372002955	0	3029	3029	3027
Sun Jun 23 15:56:03 2013	1372002963	0	3034	3034	3034
Sun Jun 23 15:55:49 2013	1372002949	1	3043	3043	3042
