starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:14:49 2013	1372018489	0	2389	2389	2388
Sun Jun 23 20:14:55 2013	1372018495	0	2896	2896	2896
Sun Jun 23 20:14:37 2013	1372018477	0	2986	2986	2986
Sun Jun 23 20:14:43 2013	1372018483	0	2990	2990	2990
Sun Jun 23 20:15:01 2013	1372018501	0	2997	2997	2996
Sun Jun 23 20:14:34 2013	1372018474	0	3001	3002	3000
Sun Jun 23 20:14:46 2013	1372018486	0	3012	3012	3012
Sun Jun 23 20:14:58 2013	1372018498	0	3129	3129	3128
Sun Jun 23 20:14:52 2013	1372018492	0	3146	3146	3146
Sun Jun 23 20:14:40 2013	1372018480	0	3151	3151	3151
