starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 19:57:33 2013	1372017453	0	4017	4017	4017
Sun Jun 23 19:57:11 2013	1372017431	0	4244	4244	4243
Sun Jun 23 19:57:28 2013	1372017448	0	4295	4295	4295
Sun Jun 23 19:57:20 2013	1372017440	0	4314	4314	4314
Sun Jun 23 19:57:06 2013	1372017426	0	4332	4332	4331
Sun Jun 23 19:57:24 2013	1372017444	0	4383	4383	4383
Sun Jun 23 19:57:15 2013	1372017435	0	4593	4593	4593
Sun Jun 23 19:56:58 2013	1372017418	0	7933	7933	7933
Sun Jun 23 19:56:17 2013	1372017377	1	20336	20336	20335
Sun Jun 23 19:56:37 2013	1372017397	0	21364	21364	21364
