starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 21:17:01 2013	1372022221	0	3664	3664	3664
Sun Jun 23 21:16:44 2013	1372022204	0	3709	3709	3709
Sun Jun 23 21:16:35 2013	1372022195	0	3981	3981	3981
Sun Jun 23 21:16:31 2013	1372022191	0	4039	4039	4039
Sun Jun 23 21:16:56 2013	1372022216	0	4242	4242	4242
Sun Jun 23 21:16:52 2013	1372022212	0	4288	4288	4287
Sun Jun 23 21:16:39 2013	1372022199	0	4497	4497	4497
Sun Jun 23 21:16:48 2013	1372022208	0	4545	4545	4545
Sun Jun 23 21:16:22 2013	1372022182	0	9493	9493	9493
Sun Jun 23 21:16:02 2013	1372022162	2	19788	19791	19788
