starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:02:48 2013	1372017768	0	3182	3182	3182
Sun Jun 23 20:02:51 2013	1372017771	0	3251	3251	3251
Sun Jun 23 20:02:44 2013	1372017764	0	3275	3275	3275
Sun Jun 23 20:02:41 2013	1372017761	0	3279	3279	3279
Sun Jun 23 20:02:36 2013	1372017756	0	5317	5317	5317
Sun Jun 23 20:02:25 2013	1372017745	0	11075	11075	11075
Sun Jun 23 20:01:57 2013	1372017717	0	13025	13025	13025
Sun Jun 23 20:02:10 2013	1372017730	0	15205	15205	15202
Sun Jun 23 20:01:40 2013	1372017700	0	16785	16786	16785
Sun Jun 23 20:01:23 2013	1372017683	1	16851	16851	16850
