starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:43:26 2013	1372002206	0	3321	3321	3321
Sun Jun 23 15:43:23 2013	1372002203	0	3459	3459	3459
Sun Jun 23 15:43:17 2013	1372002197	0	5755	5755	5754
Sun Jun 23 15:43:09 2013	1372002189	0	8401	8401	8400
Sun Jun 23 15:42:59 2013	1372002179	1	10085	10086	10085
Sun Jun 23 15:41:42 2013	1372002102	1	12660	12660	12659
Sun Jun 23 15:42:12 2013	1372002132	0	14705	14705	14704
Sun Jun 23 15:42:43 2013	1372002163	0	15353	15353	15352
Sun Jun 23 15:41:55 2013	1372002115	0	16741	16741	16741
Sun Jun 23 15:42:26 2013	1372002146	0	16913	16913	16912
