starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:38:16 2013	1372019896	0	1429	1429	1428
Sun Jun 23 20:38:17 2013	1372019897	0	1563	1563	1560
Sun Jun 23 20:38:14 2013	1372019894	0	1675	1675	1673
Sun Jun 23 20:38:12 2013	1372019892	0	1746	1746	1744
Sun Jun 23 20:38:01 2013	1372019881	0	1754	1754	1752
Sun Jun 23 20:38:10 2013	1372019890	0	1877	1877	1875
Sun Jun 23 20:38:08 2013	1372019888	0	1911	1911	1909
Sun Jun 23 20:37:59 2013	1372019879	0	2149	2149	2145
Sun Jun 23 20:38:03 2013	1372019883	0	2790	2790	2787
Sun Jun 23 20:38:05 2013	1372019885	0	2917	2917	2914
