starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 16:36:09 2013	1372005369	0	3039	3039	3036
Sun Jun 23 16:35:56 2013	1372005356	0	3049	3049	3046
Sun Jun 23 16:36:15 2013	1372005375	0	3110	3110	3107
Sun Jun 23 16:35:59 2013	1372005359	0	3135	3136	3132
Sun Jun 23 16:36:12 2013	1372005372	0	3150	3150	3147
Sun Jun 23 16:36:06 2013	1372005366	0	3152	3152	3148
Sun Jun 23 16:36:02 2013	1372005362	0	3165	3165	3162
Sun Jun 23 16:35:49 2013	1372005349	0	6842	6842	6839
Sun Jun 23 16:35:35 2013	1372005335	0	7086	7086	7080
Sun Jun 23 16:35:42 2013	1372005342	0	7399	7399	7396
