starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:30:51 2013	1372019451	0	16515	16515	16511
Sun Jun 23 20:29:48 2013	1372019388	0	19491	19491	19488
Sun Jun 23 20:30:07 2013	1372019407	0	19659	19659	19654
Sun Jun 23 20:28:01 2013	1372019281	0	20087	20088	20082
Sun Jun 23 20:28:43 2013	1372019323	0	20198	20198	20196
Sun Jun 23 20:31:07 2013	1372019467	0	21407	21408	21404
Sun Jun 23 20:28:21 2013	1372019301	0	21604	21604	21600
Sun Jun 23 20:29:03 2013	1372019343	0	21847	21847	21845
Sun Jun 23 20:29:25 2013	1372019365	0	22889	22889	22885
Sun Jun 23 20:30:27 2013	1372019427	0	23990	23990	23986
