starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 21:08:23 2013	1372021703	0	16613	16613	16610
Sun Jun 23 21:10:31 2013	1372021831	0	20449	20449	20446
Sun Jun 23 21:09:25 2013	1372021765	0	21374	21374	21371
Sun Jun 23 21:09:46 2013	1372021786	0	21984	21984	21981
Sun Jun 23 21:10:52 2013	1372021852	0	22260	22260	22257
Sun Jun 23 21:09:02 2013	1372021742	0	22346	22346	22342
Sun Jun 23 21:08:00 2013	1372021680	0	22444	22445	22442
Sun Jun 23 21:10:08 2013	1372021808	0	22967	22967	22964
Sun Jun 23 21:08:39 2013	1372021719	0	23193	23193	23190
Sun Jun 23 21:07:36 2013	1372021656	0	23746	23746	23741
