starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 21:02:28 2013	1372021348	0	10881	10881	10878
Sun Jun 23 21:03:11 2013	1372021391	0	11000	11000	10997
Sun Jun 23 21:02:12 2013	1372021332	0	15423	15423	15418
Sun Jun 23 21:02:55 2013	1372021375	0	15689	15689	15686
Sun Jun 23 21:03:55 2013	1372021435	0	16108	16108	16104
Sun Jun 23 21:03:38 2013	1372021418	0	16276	16276	16274
Sun Jun 23 21:03:22 2013	1372021402	0	16434	16434	16430
Sun Jun 23 21:02:39 2013	1372021359	0	16442	16442	16377
Sun Jun 23 21:04:27 2013	1372021467	0	16495	16495	16492
Sun Jun 23 21:04:11 2013	1372021451	0	16530	16531	16527
