starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:41:15 2013	1372020075	0	4078	4078	4077
Sun Jun 23 20:41:24 2013	1372020084	0	4112	4112	4111
Sun Jun 23 20:41:28 2013	1372020088	0	4119	4119	4118
Sun Jun 23 20:41:19 2013	1372020079	0	4409	4409	4408
Sun Jun 23 20:41:08 2013	1372020068	0	7122	7122	7120
Sun Jun 23 20:40:39 2013	1372020039	0	10530	10530	10529
Sun Jun 23 20:40:23 2013	1372020023	0	16492	16492	16489
Sun Jun 23 20:40:50 2013	1372020050	0	18408	18408	18405
Sun Jun 23 20:39:44 2013	1372019984	0	18657	18657	18651
Sun Jun 23 20:40:03 2013	1372020003	0	20146	20146	20142
