starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 14:48:15 2013	1371998895	1	2784	2785	2780
Sun Jun 23 14:48:37 2013	1371998917	0	2942	2942	2940
Sun Jun 23 14:48:43 2013	1371998923	0	2991	2991	2990
Sun Jun 23 14:48:21 2013	1371998901	0	3028	3028	3027
Sun Jun 23 14:48:30 2013	1371998910	0	3048	3048	3047
Sun Jun 23 14:48:27 2013	1371998907	0	3112	3112	3111
Sun Jun 23 14:48:33 2013	1371998913	0	3129	3129	3128
Sun Jun 23 14:48:18 2013	1371998898	0	3146	3146	3145
Sun Jun 23 14:48:40 2013	1371998920	0	3152	3152	3150
Sun Jun 23 14:48:24 2013	1371998904	0	3171	3171	3170
