starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:20:03 2013	1372000803	0	17588	17588	17583
Sun Jun 23 15:20:20 2013	1372000820	0	17930	17930	17925
Sun Jun 23 15:19:20 2013	1372000760	0	20998	20998	20996
Sun Jun 23 15:21:01 2013	1372000861	0	21755	21755	21751
Sun Jun 23 15:19:41 2013	1372000781	0	21836	21836	21834
Sun Jun 23 15:21:47 2013	1372000907	0	21918	21918	21917
Sun Jun 23 15:18:57 2013	1372000737	0	22569	22569	22565
Sun Jun 23 15:20:38 2013	1372000838	0	22623	22623	22620
Sun Jun 23 15:18:34 2013	1372000714	1	22996	22996	22992
Sun Jun 23 15:21:22 2013	1372000882	0	24201	24201	24198
