starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 14:52:43 2013	1371999163	0	15803	15803	15800
Sun Jun 23 14:50:46 2013	1371999046	0	16671	16671	16668
Sun Jun 23 14:51:19 2013	1371999079	0	16680	16680	16677
Sun Jun 23 14:52:09 2013	1371999129	0	16684	16684	16680
Sun Jun 23 14:50:29 2013	1371999029	0	16754	16754	16750
Sun Jun 23 14:51:53 2013	1371999113	0	16796	16796	16792
Sun Jun 23 14:52:26 2013	1371999146	0	16817	16817	16815
Sun Jun 23 14:51:02 2013	1371999062	0	16885	16885	16883
Sun Jun 23 14:51:36 2013	1371999096	0	16890	16890	16886
Sun Jun 23 14:50:12 2013	1371999012	1	16935	16936	16930
