starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 13:49:22 2013	1372081762	0	1364	1364	1364
Mon Jun 24 13:49:34 2013	1372081774	0	1431	1431	1430
Mon Jun 24 13:49:28 2013	1372081768	0	1431	1431	1431
Mon Jun 24 13:49:25 2013	1372081765	0	1433	1434	1433
Mon Jun 24 13:49:31 2013	1372081771	0	1434	1434	1433
Mon Jun 24 13:49:21 2013	1372081761	1	1507	1508	1506
Mon Jun 24 13:49:23 2013	1372081763	0	1537	1537	1537
Mon Jun 24 13:49:32 2013	1372081772	0	1580	1580	1580
Mon Jun 24 13:49:29 2013	1372081769	0	1583	1583	1583
Mon Jun 24 13:49:26 2013	1372081766	0	1587	1587	1587
