starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 13:42:56 2013	1372081376	0	1841	1841	1841
Mon Jun 24 13:42:54 2013	1372081374	0	1845	1845	1845
Mon Jun 24 13:42:48 2013	1372081368	0	1886	1886	1886
Mon Jun 24 13:42:52 2013	1372081372	0	1888	1888	1888
Mon Jun 24 13:43:02 2013	1372081382	0	1893	1893	1893
Mon Jun 24 13:42:50 2013	1372081370	0	1894	1895	1894
Mon Jun 24 13:42:45 2013	1372081365	1	1909	1910	1908
Mon Jun 24 13:42:46 2013	1372081366	0	1917	1918	1917
Mon Jun 24 13:42:58 2013	1372081378	0	1953	1953	1953
Mon Jun 24 13:43:00 2013	1372081380	0	2055	2055	2054
