starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 14:12:37 2013	1372083157	0	1454	1454	1447
Mon Jun 24 14:12:49 2013	1372083169	0	1459	1459	1456
Mon Jun 24 14:12:51 2013	1372083171	0	1465	1465	1462
Mon Jun 24 14:12:41 2013	1372083161	0	1469	1469	1466
Mon Jun 24 14:12:43 2013	1372083163	0	1472	1472	1469
Mon Jun 24 14:12:44 2013	1372083164	0	1473	1473	1470
Mon Jun 24 14:12:40 2013	1372083160	0	1603	1603	1599
Mon Jun 24 14:12:46 2013	1372083166	0	1604	1604	1601
Mon Jun 24 14:12:48 2013	1372083168	0	1610	1610	1607
Mon Jun 24 14:12:38 2013	1372083158	0	1616	1616	1613
