starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:19:07 2013	1372101547	0	277	277	274
Mon Jun 24 19:19:06 2013	1372101546	0	277	277	274
Mon Jun 24 19:19:04 2013	1372101544	0	277	277	269
Mon Jun 24 19:19:06 2013	1372101546	0	278	278	275
Mon Jun 24 19:19:05 2013	1372101545	0	279	279	275
Mon Jun 24 19:19:05 2013	1372101545	0	280	280	277
Mon Jun 24 19:19:05 2013	1372101545	0	280	280	277
Mon Jun 24 19:19:05 2013	1372101545	0	281	281	278
Mon Jun 24 19:19:07 2013	1372101547	0	395	395	391
Mon Jun 24 19:19:06 2013	1372101546	0	443	443	439
