starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:18:20 2013	1372101500	0	272	272	265
Mon Jun 24 19:18:21 2013	1372101501	0	273	273	270
Mon Jun 24 19:18:21 2013	1372101501	0	274	274	271
Mon Jun 24 19:18:22 2013	1372101502	0	275	275	271
Mon Jun 24 19:18:22 2013	1372101502	0	275	275	272
Mon Jun 24 19:18:21 2013	1372101501	0	275	275	271
Mon Jun 24 19:18:22 2013	1372101502	0	277	277	273
Mon Jun 24 19:18:23 2013	1372101503	0	279	279	275
Mon Jun 24 19:18:23 2013	1372101503	0	321	321	318
Mon Jun 24 19:18:22 2013	1372101502	0	404	404	401
