starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:51:53 2013	1372103513	0	252	252	252
Mon Jun 24 19:52:00 2013	1372103520	0	257	257	256
Mon Jun 24 19:51:53 2013	1372103513	0	265	265	264
Mon Jun 24 19:52:08 2013	1372103528	0	265	265	265
Mon Jun 24 19:51:52 2013	1372103512	0	267	267	266
Mon Jun 24 19:52:08 2013	1372103528	0	267	267	266
Mon Jun 24 19:52:07 2013	1372103527	0	267	267	267
Mon Jun 24 19:51:48 2013	1372103508	0	267	267	267
Mon Jun 24 19:51:44 2013	1372103504	0	267	268	267
Mon Jun 24 19:51:46 2013	1372103506	0	268	268	267
Mon Jun 24 19:52:09 2013	1372103529	0	268	268	268
Mon Jun 24 19:51:59 2013	1372103519	0	268	268	267
Mon Jun 24 19:52:04 2013	1372103524	0	268	268	268
Mon Jun 24 19:51:46 2013	1372103506	0	268	268	268
Mon Jun 24 19:52:04 2013	1372103524	0	268	268	268
Mon Jun 24 19:52:05 2013	1372103525	0	268	268	268
Mon Jun 24 19:51:45 2013	1372103505	0	268	268	268
Mon Jun 24 19:52:05 2013	1372103525	0	268	268	268
Mon Jun 24 19:51:48 2013	1372103508	0	268	268	268
Mon Jun 24 19:51:56 2013	1372103516	0	268	268	268
Mon Jun 24 19:52:01 2013	1372103521	0	268	268	268
Mon Jun 24 19:51:57 2013	1372103517	0	268	269	268
Mon Jun 24 19:51:53 2013	1372103513	0	269	269	268
Mon Jun 24 19:51:44 2013	1372103504	0	269	269	268
Mon Jun 24 19:51:54 2013	1372103514	0	269	269	268
Mon Jun 24 19:52:04 2013	1372103524	0	269	269	268
Mon Jun 24 19:51:56 2013	1372103516	0	269	269	268
Mon Jun 24 19:52:10 2013	1372103530	0	269	269	268
Mon Jun 24 19:51:49 2013	1372103509	0	269	269	268
Mon Jun 24 19:52:07 2013	1372103527	0	269	269	268
Mon Jun 24 19:51:56 2013	1372103516	0	269	269	268
Mon Jun 24 19:51:50 2013	1372103510	0	269	269	268
Mon Jun 24 19:51:45 2013	1372103505	0	269	269	268
Mon Jun 24 19:51:51 2013	1372103511	0	269	269	269
Mon Jun 24 19:52:07 2013	1372103527	0	269	269	269
Mon Jun 24 19:52:10 2013	1372103530	0	269	269	269
Mon Jun 24 19:52:05 2013	1372103525	0	269	269	269
Mon Jun 24 19:51:45 2013	1372103505	0	269	269	269
Mon Jun 24 19:51:52 2013	1372103512	0	269	269	269
Mon Jun 24 19:52:02 2013	1372103522	0	269	269	269
Mon Jun 24 19:52:06 2013	1372103526	0	269	269	269
Mon Jun 24 19:51:59 2013	1372103519	0	269	269	269
Mon Jun 24 19:52:03 2013	1372103523	0	269	269	269
Mon Jun 24 19:52:01 2013	1372103521	0	269	269	269
Mon Jun 24 19:52:03 2013	1372103523	0	269	269	269
Mon Jun 24 19:52:03 2013	1372103523	0	269	269	269
Mon Jun 24 19:51:51 2013	1372103511	0	269	269	269
Mon Jun 24 19:52:03 2013	1372103523	0	269	269	269
Mon Jun 24 19:52:09 2013	1372103529	0	269	269	269
Mon Jun 24 19:52:00 2013	1372103520	0	269	270	269
Mon Jun 24 19:51:49 2013	1372103509	0	270	270	269
Mon Jun 24 19:51:53 2013	1372103513	0	270	270	269
Mon Jun 24 19:52:00 2013	1372103520	0	269	270	269
Mon Jun 24 19:51:49 2013	1372103509	0	270	270	269
Mon Jun 24 19:51:48 2013	1372103508	0	270	270	270
Mon Jun 24 19:52:01 2013	1372103521	0	270	270	270
Mon Jun 24 19:51:54 2013	1372103514	0	270	270	270
Mon Jun 24 19:52:02 2013	1372103522	0	270	270	269
Mon Jun 24 19:52:08 2013	1372103528	0	270	270	270
Mon Jun 24 19:52:05 2013	1372103525	0	270	270	270
Mon Jun 24 19:51:51 2013	1372103511	0	270	270	270
Mon Jun 24 19:51:47 2013	1372103507	0	270	270	270
Mon Jun 24 19:52:07 2013	1372103527	0	270	270	270
Mon Jun 24 19:51:47 2013	1372103507	0	270	270	270
Mon Jun 24 19:51:54 2013	1372103514	0	270	270	270
Mon Jun 24 19:51:57 2013	1372103517	0	270	270	270
Mon Jun 24 19:51:51 2013	1372103511	0	270	270	270
Mon Jun 24 19:51:59 2013	1372103519	0	270	270	270
Mon Jun 24 19:52:01 2013	1372103521	0	270	271	270
Mon Jun 24 19:51:47 2013	1372103507	0	271	271	270
Mon Jun 24 19:51:46 2013	1372103506	0	271	271	270
Mon Jun 24 19:51:47 2013	1372103507	0	271	271	270
Mon Jun 24 19:51:45 2013	1372103505	0	271	271	270
Mon Jun 24 19:51:54 2013	1372103514	0	271	271	270
Mon Jun 24 19:52:06 2013	1372103526	0	271	271	271
Mon Jun 24 19:51:44 2013	1372103504	0	271	271	271
Mon Jun 24 19:52:00 2013	1372103520	0	271	271	271
Mon Jun 24 19:51:52 2013	1372103512	0	271	271	271
Mon Jun 24 19:52:08 2013	1372103528	0	271	271	271
Mon Jun 24 19:51:49 2013	1372103509	0	271	271	271
Mon Jun 24 19:52:02 2013	1372103522	0	271	272	271
Mon Jun 24 19:51:55 2013	1372103515	0	272	272	271
Mon Jun 24 19:51:50 2013	1372103510	0	272	272	271
Mon Jun 24 19:51:57 2013	1372103517	0	272	272	271
Mon Jun 24 19:52:06 2013	1372103526	0	272	272	272
Mon Jun 24 19:52:09 2013	1372103529	0	272	272	272
Mon Jun 24 19:51:48 2013	1372103508	0	272	272	272
Mon Jun 24 19:52:10 2013	1372103530	0	272	272	272
Mon Jun 24 19:51:57 2013	1372103517	0	272	273	272
Mon Jun 24 19:51:58 2013	1372103518	0	274	274	273
Mon Jun 24 19:51:58 2013	1372103518	0	274	274	274
Mon Jun 24 19:51:58 2013	1372103518	0	274	274	274
Mon Jun 24 19:51:55 2013	1372103515	0	274	275	274
Mon Jun 24 19:51:58 2013	1372103518	0	275	275	274
Mon Jun 24 19:51:55 2013	1372103515	0	276	276	275
Mon Jun 24 19:51:44 2013	1372103504	0	276	276	276
Mon Jun 24 19:51:55 2013	1372103515	0	278	278	277
Mon Jun 24 19:52:04 2013	1372103524	0	279	280	279
Mon Jun 24 19:51:50 2013	1372103510	0	349	349	349
Mon Jun 24 19:51:38 2013	1372103498	3	5482	5485	5481
