starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 20:05:39 2013	1372104339	0	263	263	261
Mon Jun 24 20:05:36 2013	1372104336	0	266	266	266
Mon Jun 24 20:05:48 2013	1372104348	0	270	270	270
Mon Jun 24 20:05:34 2013	1372104334	0	270	271	270
Mon Jun 24 20:05:41 2013	1372104341	0	271	271	271
Mon Jun 24 20:05:38 2013	1372104338	0	272	272	271
Mon Jun 24 20:05:44 2013	1372104344	0	272	272	272
Mon Jun 24 20:05:46 2013	1372104346	0	272	272	272
Mon Jun 24 20:05:40 2013	1372104340	0	272	272	272
Mon Jun 24 20:05:29 2013	1372104329	0	272	272	272
Mon Jun 24 20:05:27 2013	1372104327	0	272	272	272
Mon Jun 24 20:05:22 2013	1372104322	0	272	272	272
Mon Jun 24 20:05:24 2013	1372104324	0	272	272	272
Mon Jun 24 20:05:30 2013	1372104330	0	272	272	272
Mon Jun 24 20:05:37 2013	1372104337	0	272	273	272
Mon Jun 24 20:05:33 2013	1372104333	0	272	273	272
Mon Jun 24 20:05:29 2013	1372104329	0	272	273	272
Mon Jun 24 20:05:43 2013	1372104343	0	273	273	272
Mon Jun 24 20:05:29 2013	1372104329	0	273	273	272
Mon Jun 24 20:05:32 2013	1372104332	0	273	273	273
Mon Jun 24 20:05:26 2013	1372104326	0	273	273	273
Mon Jun 24 20:05:44 2013	1372104344	0	273	273	273
Mon Jun 24 20:05:35 2013	1372104335	0	273	273	273
Mon Jun 24 20:05:24 2013	1372104324	0	273	273	273
Mon Jun 24 20:05:42 2013	1372104342	0	273	273	273
Mon Jun 24 20:05:30 2013	1372104330	0	273	273	273
Mon Jun 24 20:05:28 2013	1372104328	0	273	273	272
Mon Jun 24 20:05:28 2013	1372104328	0	273	273	273
Mon Jun 24 20:05:38 2013	1372104338	0	273	273	273
Mon Jun 24 20:05:24 2013	1372104324	0	273	274	273
Mon Jun 24 20:05:24 2013	1372104324	0	274	274	273
Mon Jun 24 20:05:42 2013	1372104342	0	274	274	273
Mon Jun 24 20:05:37 2013	1372104337	0	274	274	273
Mon Jun 24 20:05:32 2013	1372104332	0	274	274	273
Mon Jun 24 20:05:33 2013	1372104333	0	274	274	273
Mon Jun 24 20:05:48 2013	1372104348	0	274	274	273
Mon Jun 24 20:05:34 2013	1372104334	0	274	274	273
Mon Jun 24 20:05:39 2013	1372104339	0	274	274	273
Mon Jun 24 20:05:30 2013	1372104330	0	274	274	273
Mon Jun 24 20:05:45 2013	1372104345	0	274	274	274
Mon Jun 24 20:05:43 2013	1372104343	0	274	274	274
Mon Jun 24 20:05:28 2013	1372104328	0	274	274	274
Mon Jun 24 20:05:26 2013	1372104326	0	274	274	274
Mon Jun 24 20:05:41 2013	1372104341	0	274	275	274
Mon Jun 24 20:05:45 2013	1372104345	0	275	275	274
Mon Jun 24 20:05:40 2013	1372104340	0	275	275	274
Mon Jun 24 20:05:48 2013	1372104348	0	275	275	274
Mon Jun 24 20:05:46 2013	1372104346	0	275	275	275
Mon Jun 24 20:05:35 2013	1372104335	0	275	275	275
Mon Jun 24 20:05:29 2013	1372104329	0	275	275	274
Mon Jun 24 20:05:26 2013	1372104326	0	275	275	275
Mon Jun 24 20:05:41 2013	1372104341	0	275	275	274
Mon Jun 24 20:05:23 2013	1372104323	0	275	275	275
Mon Jun 24 20:05:44 2013	1372104344	0	275	275	275
Mon Jun 24 20:05:39 2013	1372104339	0	275	275	275
Mon Jun 24 20:05:47 2013	1372104347	0	275	275	275
Mon Jun 24 20:05:25 2013	1372104325	0	275	275	275
Mon Jun 24 20:05:28 2013	1372104328	0	275	275	275
Mon Jun 24 20:05:39 2013	1372104339	0	275	275	275
Mon Jun 24 20:05:25 2013	1372104325	0	275	275	275
Mon Jun 24 20:05:27 2013	1372104327	0	275	275	275
Mon Jun 24 20:05:27 2013	1372104327	0	275	275	275
Mon Jun 24 20:05:47 2013	1372104347	0	275	275	275
Mon Jun 24 20:05:38 2013	1372104338	0	275	275	275
Mon Jun 24 20:05:45 2013	1372104345	0	275	276	275
Mon Jun 24 20:05:36 2013	1372104336	0	275	276	275
Mon Jun 24 20:05:22 2013	1372104322	0	276	276	275
Mon Jun 24 20:05:23 2013	1372104323	0	276	276	275
