starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:55:18 2013	1372103718	0	263	263	263
Mon Jun 24 19:55:12 2013	1372103712	0	267	267	267
Mon Jun 24 19:55:20 2013	1372103720	0	268	268	268
Mon Jun 24 19:55:24 2013	1372103724	0	268	268	268
Mon Jun 24 19:55:18 2013	1372103718	0	268	269	268
Mon Jun 24 19:55:17 2013	1372103717	0	268	269	268
Mon Jun 24 19:55:11 2013	1372103711	0	269	269	269
Mon Jun 24 19:55:13 2013	1372103713	0	269	269	269
Mon Jun 24 19:55:29 2013	1372103729	0	269	269	269
Mon Jun 24 19:55:33 2013	1372103733	0	269	269	268
Mon Jun 24 19:55:24 2013	1372103724	0	269	269	269
Mon Jun 24 19:55:34 2013	1372103734	0	269	269	269
Mon Jun 24 19:55:34 2013	1372103734	0	269	270	269
Mon Jun 24 19:55:17 2013	1372103717	0	270	270	269
Mon Jun 24 19:55:19 2013	1372103719	0	270	270	269
Mon Jun 24 19:55:15 2013	1372103715	0	270	270	269
Mon Jun 24 19:55:27 2013	1372103727	0	270	270	269
Mon Jun 24 19:55:32 2013	1372103732	0	270	270	269
Mon Jun 24 19:55:33 2013	1372103733	0	270	270	269
Mon Jun 24 19:55:29 2013	1372103729	0	270	270	270
Mon Jun 24 19:55:30 2013	1372103730	0	270	270	270
Mon Jun 24 19:55:21 2013	1372103721	0	270	270	270
Mon Jun 24 19:55:30 2013	1372103730	0	270	270	270
Mon Jun 24 19:55:31 2013	1372103731	0	270	270	270
Mon Jun 24 19:55:32 2013	1372103732	0	270	270	270
Mon Jun 24 19:55:13 2013	1372103713	0	270	270	270
Mon Jun 24 19:55:12 2013	1372103712	0	270	270	270
Mon Jun 24 19:55:10 2013	1372103710	0	270	270	270
Mon Jun 24 19:55:23 2013	1372103723	0	270	270	270
Mon Jun 24 19:55:12 2013	1372103712	0	270	270	270
Mon Jun 24 19:55:24 2013	1372103724	0	270	270	270
Mon Jun 24 19:55:14 2013	1372103714	0	270	270	270
Mon Jun 24 19:55:25 2013	1372103725	0	270	270	270
Mon Jun 24 19:55:20 2013	1372103720	0	270	270	270
Mon Jun 24 19:55:13 2013	1372103713	0	270	271	270
Mon Jun 24 19:55:36 2013	1372103736	0	271	271	270
Mon Jun 24 19:55:28 2013	1372103728	0	271	271	270
Mon Jun 24 19:55:35 2013	1372103735	0	271	271	270
Mon Jun 24 19:55:26 2013	1372103726	0	271	271	270
Mon Jun 24 19:55:33 2013	1372103733	0	271	271	270
Mon Jun 24 19:55:29 2013	1372103729	0	271	271	271
Mon Jun 24 19:55:31 2013	1372103731	0	271	271	271
Mon Jun 24 19:55:17 2013	1372103717	0	271	271	271
Mon Jun 24 19:55:26 2013	1372103726	0	271	271	271
Mon Jun 24 19:55:27 2013	1372103727	0	271	271	271
Mon Jun 24 19:55:17 2013	1372103717	0	271	271	271
Mon Jun 24 19:55:28 2013	1372103728	0	271	271	271
Mon Jun 24 19:55:14 2013	1372103714	0	271	271	271
Mon Jun 24 19:55:24 2013	1372103724	0	271	271	270
Mon Jun 24 19:55:18 2013	1372103718	0	271	271	271
