starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:54:02 2013	1372103642	0	260	260	260
Mon Jun 24 19:53:58 2013	1372103638	0	262	262	261
Mon Jun 24 19:54:04 2013	1372103644	0	263	263	263
Mon Jun 24 19:54:05 2013	1372103645	0	264	264	264
Mon Jun 24 19:54:05 2013	1372103645	0	265	265	264
Mon Jun 24 19:54:03 2013	1372103643	0	265	265	265
Mon Jun 24 19:53:57 2013	1372103637	0	265	265	264
Mon Jun 24 19:53:57 2013	1372103637	0	265	265	265
Mon Jun 24 19:53:47 2013	1372103627	0	265	265	265
Mon Jun 24 19:53:51 2013	1372103631	0	265	265	265
Mon Jun 24 19:54:03 2013	1372103643	0	265	265	265
Mon Jun 24 19:53:43 2013	1372103623	0	266	266	265
Mon Jun 24 19:53:47 2013	1372103627	0	266	266	265
Mon Jun 24 19:53:54 2013	1372103634	0	266	266	266
Mon Jun 24 19:53:50 2013	1372103630	0	266	266	265
Mon Jun 24 19:53:55 2013	1372103635	0	266	266	266
Mon Jun 24 19:53:42 2013	1372103622	0	266	266	266
Mon Jun 24 19:53:50 2013	1372103630	0	266	266	266
Mon Jun 24 19:53:41 2013	1372103621	0	266	266	266
Mon Jun 24 19:53:51 2013	1372103631	0	266	266	266
Mon Jun 24 19:53:59 2013	1372103639	0	266	266	266
Mon Jun 24 19:54:02 2013	1372103642	0	266	266	266
Mon Jun 24 19:53:41 2013	1372103621	0	266	266	266
Mon Jun 24 19:53:48 2013	1372103628	0	266	267	266
Mon Jun 24 19:53:45 2013	1372103625	0	266	267	266
Mon Jun 24 19:53:52 2013	1372103632	0	267	267	266
Mon Jun 24 19:53:52 2013	1372103632	0	267	267	266
Mon Jun 24 19:53:52 2013	1372103632	0	267	267	266
Mon Jun 24 19:53:53 2013	1372103633	0	267	267	267
Mon Jun 24 19:54:05 2013	1372103645	0	267	267	267
Mon Jun 24 19:53:46 2013	1372103626	0	267	267	266
Mon Jun 24 19:53:51 2013	1372103631	0	267	267	267
Mon Jun 24 19:53:59 2013	1372103639	0	267	267	266
Mon Jun 24 19:53:40 2013	1372103620	0	267	267	267
Mon Jun 24 19:53:56 2013	1372103636	0	267	267	267
Mon Jun 24 19:53:43 2013	1372103623	0	267	267	267
Mon Jun 24 19:54:03 2013	1372103643	0	267	267	267
Mon Jun 24 19:53:44 2013	1372103624	0	267	267	266
Mon Jun 24 19:53:58 2013	1372103638	0	267	267	267
Mon Jun 24 19:53:55 2013	1372103635	0	267	267	267
Mon Jun 24 19:53:51 2013	1372103631	0	267	267	267
Mon Jun 24 19:53:45 2013	1372103625	0	267	267	267
Mon Jun 24 19:53:53 2013	1372103633	0	267	267	267
Mon Jun 24 19:53:49 2013	1372103629	0	267	267	267
Mon Jun 24 19:53:46 2013	1372103626	0	267	267	267
Mon Jun 24 19:53:48 2013	1372103628	0	267	267	267
Mon Jun 24 19:53:56 2013	1372103636	0	267	267	267
Mon Jun 24 19:53:42 2013	1372103622	0	267	267	267
Mon Jun 24 19:53:49 2013	1372103629	0	267	267	267
Mon Jun 24 19:53:59 2013	1372103639	0	267	267	267
Mon Jun 24 19:53:50 2013	1372103630	0	267	267	267
Mon Jun 24 19:53:49 2013	1372103629	0	267	267	267
Mon Jun 24 19:53:44 2013	1372103624	0	267	267	267
Mon Jun 24 19:53:46 2013	1372103626	0	267	267	267
Mon Jun 24 19:54:03 2013	1372103643	0	267	268	267
Mon Jun 24 19:54:01 2013	1372103641	0	267	268	267
Mon Jun 24 19:53:56 2013	1372103636	0	267	268	267
Mon Jun 24 19:53:48 2013	1372103628	1	267	268	267
Mon Jun 24 19:53:40 2013	1372103620	0	268	268	267
Mon Jun 24 19:53:54 2013	1372103634	0	268	268	267
Mon Jun 24 19:53:54 2013	1372103634	0	268	268	267
Mon Jun 24 19:53:58 2013	1372103638	0	268	268	267
Mon Jun 24 19:54:00 2013	1372103640	0	268	268	267
Mon Jun 24 19:53:47 2013	1372103627	0	268	268	268
Mon Jun 24 19:54:00 2013	1372103640	0	268	268	268
Mon Jun 24 19:54:05 2013	1372103645	0	268	268	268
Mon Jun 24 19:53:44 2013	1372103624	0	268	268	268
Mon Jun 24 19:54:00 2013	1372103640	0	268	268	268
Mon Jun 24 19:54:01 2013	1372103641	0	268	268	268
Mon Jun 24 19:54:04 2013	1372103644	0	268	268	268
Mon Jun 24 19:53:55 2013	1372103635	0	268	268	268
Mon Jun 24 19:53:56 2013	1372103636	0	268	268	268
Mon Jun 24 19:53:41 2013	1372103621	0	268	268	268
Mon Jun 24 19:53:52 2013	1372103632	0	268	268	268
Mon Jun 24 19:53:48 2013	1372103628	0	268	268	268
Mon Jun 24 19:53:43 2013	1372103623	0	268	268	268
Mon Jun 24 19:53:42 2013	1372103622	0	268	268	268
Mon Jun 24 19:53:58 2013	1372103638	0	268	268	268
Mon Jun 24 19:53:40 2013	1372103620	0	268	269	268
Mon Jun 24 19:53:53 2013	1372103633	0	269	269	268
