starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:46:29 2013	1372103189	0	262	262	260
Mon Jun 24 19:46:28 2013	1372103188	0	264	264	261
Mon Jun 24 19:46:24 2013	1372103184	0	264	264	262
Mon Jun 24 19:46:41 2013	1372103201	0	267	267	265
Mon Jun 24 19:46:28 2013	1372103188	0	267	267	265
Mon Jun 24 19:46:43 2013	1372103203	0	268	268	266
Mon Jun 24 19:46:49 2013	1372103209	0	268	268	266
Mon Jun 24 19:46:42 2013	1372103202	0	269	269	266
Mon Jun 24 19:46:42 2013	1372103202	0	269	269	267
Mon Jun 24 19:46:39 2013	1372103199	0	269	269	267
Mon Jun 24 19:46:27 2013	1372103187	0	270	270	268
Mon Jun 24 19:46:29 2013	1372103189	1	269	270	266
Mon Jun 24 19:46:35 2013	1372103195	0	270	270	268
Mon Jun 24 19:46:23 2013	1372103183	0	270	270	268
Mon Jun 24 19:46:37 2013	1372103197	0	270	271	268
Mon Jun 24 19:46:28 2013	1372103188	0	270	271	268
Mon Jun 24 19:46:49 2013	1372103209	0	270	271	269
Mon Jun 24 19:46:45 2013	1372103205	0	271	271	269
Mon Jun 24 19:46:31 2013	1372103191	0	271	271	269
Mon Jun 24 19:46:43 2013	1372103203	0	271	271	269
Mon Jun 24 19:46:46 2013	1372103206	0	271	271	269
Mon Jun 24 19:46:45 2013	1372103205	0	271	271	269
Mon Jun 24 19:46:31 2013	1372103191	0	271	271	269
Mon Jun 24 19:46:46 2013	1372103206	0	271	271	269
Mon Jun 24 19:46:32 2013	1372103192	0	271	272	269
Mon Jun 24 19:46:24 2013	1372103184	0	271	272	269
Mon Jun 24 19:46:39 2013	1372103199	0	272	272	269
Mon Jun 24 19:46:26 2013	1372103186	0	272	272	269
Mon Jun 24 19:46:43 2013	1372103203	0	272	272	270
Mon Jun 24 19:46:29 2013	1372103189	0	272	272	270
Mon Jun 24 19:46:47 2013	1372103207	0	271	272	269
Mon Jun 24 19:46:27 2013	1372103187	0	272	272	269
Mon Jun 24 19:46:37 2013	1372103197	0	272	272	270
Mon Jun 24 19:46:38 2013	1372103198	0	272	272	270
Mon Jun 24 19:46:38 2013	1372103198	0	272	272	269
Mon Jun 24 19:46:33 2013	1372103193	0	272	272	270
Mon Jun 24 19:46:50 2013	1372103210	0	272	272	270
Mon Jun 24 19:46:32 2013	1372103192	0	272	272	270
Mon Jun 24 19:46:30 2013	1372103190	0	272	272	270
Mon Jun 24 19:46:41 2013	1372103201	0	272	272	270
Mon Jun 24 19:46:40 2013	1372103200	0	272	272	269
Mon Jun 24 19:46:42 2013	1372103202	0	272	272	270
Mon Jun 24 19:46:45 2013	1372103205	0	272	272	270
Mon Jun 24 19:46:25 2013	1372103185	0	272	272	270
Mon Jun 24 19:46:33 2013	1372103193	0	272	272	270
Mon Jun 24 19:46:43 2013	1372103203	0	272	273	269
Mon Jun 24 19:46:27 2013	1372103187	0	272	273	270
Mon Jun 24 19:46:39 2013	1372103199	0	272	273	269
Mon Jun 24 19:46:29 2013	1372103189	0	272	273	270
Mon Jun 24 19:46:30 2013	1372103190	0	272	273	270
Mon Jun 24 19:46:27 2013	1372103187	0	273	273	270
Mon Jun 24 19:46:47 2013	1372103207	0	273	273	271
Mon Jun 24 19:46:31 2013	1372103191	0	273	273	271
Mon Jun 24 19:46:37 2013	1372103197	0	273	273	270
Mon Jun 24 19:46:44 2013	1372103204	0	273	273	271
Mon Jun 24 19:46:31 2013	1372103191	0	273	273	270
Mon Jun 24 19:46:33 2013	1372103193	0	273	273	271
Mon Jun 24 19:46:28 2013	1372103188	0	273	273	271
Mon Jun 24 19:46:44 2013	1372103204	0	273	273	271
Mon Jun 24 19:46:46 2013	1372103206	0	273	273	271
Mon Jun 24 19:46:34 2013	1372103194	0	273	273	271
Mon Jun 24 19:46:48 2013	1372103208	0	273	273	271
Mon Jun 24 19:46:40 2013	1372103200	0	273	273	270
Mon Jun 24 19:46:48 2013	1372103208	0	273	273	271
Mon Jun 24 19:46:41 2013	1372103201	0	273	273	271
Mon Jun 24 19:46:32 2013	1372103192	0	273	273	271
Mon Jun 24 19:46:25 2013	1372103185	0	273	273	271
Mon Jun 24 19:46:41 2013	1372103201	0	273	273	271
Mon Jun 24 19:46:48 2013	1372103208	0	273	273	271
Mon Jun 24 19:46:38 2013	1372103198	0	273	273	271
Mon Jun 24 19:46:34 2013	1372103194	0	273	273	270
Mon Jun 24 19:46:26 2013	1372103186	0	273	273	271
Mon Jun 24 19:46:40 2013	1372103200	0	273	273	271
Mon Jun 24 19:46:24 2013	1372103184	0	273	274	271
