starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:48:21 2013	1372103301	0	261	261	258
Mon Jun 24 19:48:35 2013	1372103315	0	262	262	258
Mon Jun 24 19:48:24 2013	1372103304	0	264	264	262
Mon Jun 24 19:48:20 2013	1372103300	0	269	269	266
Mon Jun 24 19:48:18 2013	1372103298	0	270	270	267
Mon Jun 24 19:48:26 2013	1372103306	0	271	271	268
Mon Jun 24 19:48:35 2013	1372103315	0	271	271	268
Mon Jun 24 19:48:32 2013	1372103312	0	271	272	269
Mon Jun 24 19:48:18 2013	1372103298	0	272	272	268
Mon Jun 24 19:48:30 2013	1372103310	0	272	272	269
Mon Jun 24 19:48:13 2013	1372103293	0	272	272	269
Mon Jun 24 19:48:39 2013	1372103319	0	272	272	270
Mon Jun 24 19:48:17 2013	1372103297	0	272	272	269
Mon Jun 24 19:48:20 2013	1372103300	0	272	272	270
Mon Jun 24 19:48:27 2013	1372103307	0	273	273	270
Mon Jun 24 19:48:38 2013	1372103318	0	273	273	270
Mon Jun 24 19:48:26 2013	1372103306	0	273	273	271
Mon Jun 24 19:48:24 2013	1372103304	0	273	273	271
Mon Jun 24 19:48:23 2013	1372103303	0	273	273	271
Mon Jun 24 19:48:37 2013	1372103317	0	273	273	270
Mon Jun 24 19:48:19 2013	1372103299	0	273	273	271
Mon Jun 24 19:48:39 2013	1372103319	0	273	274	271
Mon Jun 24 19:48:23 2013	1372103303	0	274	274	270
Mon Jun 24 19:48:34 2013	1372103314	0	274	274	271
Mon Jun 24 19:48:34 2013	1372103314	0	274	274	271
Mon Jun 24 19:48:30 2013	1372103310	0	274	274	271
Mon Jun 24 19:48:21 2013	1372103301	0	274	274	271
Mon Jun 24 19:48:24 2013	1372103304	0	274	274	271
Mon Jun 24 19:48:31 2013	1372103311	0	274	274	271
Mon Jun 24 19:48:39 2013	1372103319	0	274	274	271
Mon Jun 24 19:48:19 2013	1372103299	0	274	274	271
Mon Jun 24 19:48:37 2013	1372103317	0	274	274	271
Mon Jun 24 19:48:27 2013	1372103307	0	274	274	270
Mon Jun 24 19:48:21 2013	1372103301	0	274	274	271
Mon Jun 24 19:48:33 2013	1372103313	0	274	274	270
Mon Jun 24 19:48:36 2013	1372103316	0	274	274	272
Mon Jun 24 19:48:32 2013	1372103312	0	274	274	272
Mon Jun 24 19:48:38 2013	1372103318	0	274	274	271
Mon Jun 24 19:48:34 2013	1372103314	0	274	274	271
Mon Jun 24 19:48:37 2013	1372103317	0	274	274	272
Mon Jun 24 19:48:14 2013	1372103294	0	274	274	272
Mon Jun 24 19:48:26 2013	1372103306	0	274	274	272
Mon Jun 24 19:48:16 2013	1372103296	0	274	275	272
Mon Jun 24 19:48:36 2013	1372103316	0	274	275	271
Mon Jun 24 19:48:17 2013	1372103297	0	274	275	272
Mon Jun 24 19:48:25 2013	1372103305	0	275	275	272
Mon Jun 24 19:48:28 2013	1372103308	0	275	275	272
Mon Jun 24 19:48:33 2013	1372103313	0	275	275	272
Mon Jun 24 19:48:31 2013	1372103311	0	275	275	272
Mon Jun 24 19:48:18 2013	1372103298	0	275	275	272
Mon Jun 24 19:48:29 2013	1372103309	0	275	275	272
Mon Jun 24 19:48:19 2013	1372103299	0	275	275	272
Mon Jun 24 19:48:13 2013	1372103293	0	275	275	272
Mon Jun 24 19:48:20 2013	1372103300	0	275	275	272
Mon Jun 24 19:48:25 2013	1372103305	0	275	275	272
Mon Jun 24 19:48:31 2013	1372103311	0	275	275	272
Mon Jun 24 19:48:27 2013	1372103307	0	275	275	272
Mon Jun 24 19:48:25 2013	1372103305	0	275	275	273
Mon Jun 24 19:48:28 2013	1372103308	0	275	275	272
Mon Jun 24 19:48:12 2013	1372103292	0	275	275	273
Mon Jun 24 19:48:22 2013	1372103302	0	275	276	273
Mon Jun 24 19:48:15 2013	1372103295	0	275	276	273
Mon Jun 24 19:48:36 2013	1372103316	0	275	276	273
Mon Jun 24 19:48:32 2013	1372103312	0	275	276	273
Mon Jun 24 19:48:21 2013	1372103301	0	275	276	273
Mon Jun 24 19:48:36 2013	1372103316	0	276	276	273
Mon Jun 24 19:48:18 2013	1372103298	0	276	276	272
Mon Jun 24 19:48:29 2013	1372103309	0	276	276	272
Mon Jun 24 19:48:24 2013	1372103304	0	275	276	273
Mon Jun 24 19:48:20 2013	1372103300	0	276	276	273
Mon Jun 24 19:48:29 2013	1372103309	0	276	276	273
Mon Jun 24 19:48:35 2013	1372103315	0	276	276	273
Mon Jun 24 19:48:27 2013	1372103307	0	276	276	273
Mon Jun 24 19:48:34 2013	1372103314	0	276	276	274
Mon Jun 24 19:48:13 2013	1372103293	0	276	276	273
Mon Jun 24 19:48:26 2013	1372103306	0	277	277	273
Mon Jun 24 19:48:33 2013	1372103313	0	277	277	274
Mon Jun 24 19:48:28 2013	1372103308	0	277	277	273
Mon Jun 24 19:48:39 2013	1372103319	0	277	277	274
Mon Jun 24 19:48:31 2013	1372103311	0	277	277	274
Mon Jun 24 19:48:32 2013	1372103312	0	277	278	274
Mon Jun 24 19:48:22 2013	1372103302	0	278	278	275
Mon Jun 24 19:48:13 2013	1372103293	0	278	278	274
Mon Jun 24 19:48:15 2013	1372103295	0	278	278	275
Mon Jun 24 19:48:12 2013	1372103292	0	278	278	276
Mon Jun 24 19:48:30 2013	1372103310	0	278	279	275
Mon Jun 24 19:48:16 2013	1372103296	0	279	279	275
Mon Jun 24 19:48:23 2013	1372103303	0	279	280	277
Mon Jun 24 19:48:38 2013	1372103318	0	280	280	277
Mon Jun 24 19:48:37 2013	1372103317	0	280	280	277
Mon Jun 24 19:48:17 2013	1372103297	0	280	280	277
Mon Jun 24 19:48:23 2013	1372103303	0	281	281	278
Mon Jun 24 19:48:22 2013	1372103302	0	284	284	281
Mon Jun 24 19:48:15 2013	1372103295	0	288	288	286
Mon Jun 24 19:48:16 2013	1372103296	0	288	289	285
Mon Jun 24 19:48:16 2013	1372103296	0	331	331	328
Mon Jun 24 19:48:29 2013	1372103309	0	346	346	341
Mon Jun 24 19:48:14 2013	1372103294	0	822	822	820
Mon Jun 24 19:48:11 2013	1372103291	0	881	881	879
Mon Jun 24 19:48:10 2013	1372103290	0	941	941	934
