starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:47:29 2013	1372103249	0	260	260	256
Mon Jun 24 19:47:20 2013	1372103240	0	262	262	260
Mon Jun 24 19:47:30 2013	1372103250	0	263	264	261
Mon Jun 24 19:47:42 2013	1372103262	0	264	264	261
Mon Jun 24 19:47:39 2013	1372103259	0	265	265	263
Mon Jun 24 19:47:38 2013	1372103258	0	266	266	263
Mon Jun 24 19:47:27 2013	1372103247	0	266	266	262
Mon Jun 24 19:47:40 2013	1372103260	0	266	266	263
Mon Jun 24 19:47:22 2013	1372103242	0	267	267	265
Mon Jun 24 19:47:25 2013	1372103245	0	267	267	265
Mon Jun 24 19:47:37 2013	1372103257	0	268	268	265
Mon Jun 24 19:47:21 2013	1372103241	0	268	269	266
Mon Jun 24 19:47:18 2013	1372103238	0	268	269	265
Mon Jun 24 19:47:36 2013	1372103256	0	269	269	266
Mon Jun 24 19:47:18 2013	1372103238	0	269	269	265
Mon Jun 24 19:47:38 2013	1372103258	0	269	269	266
Mon Jun 24 19:47:32 2013	1372103252	0	269	269	266
Mon Jun 24 19:47:26 2013	1372103246	0	269	269	267
Mon Jun 24 19:47:36 2013	1372103256	0	270	270	267
Mon Jun 24 19:47:31 2013	1372103251	0	270	270	267
Mon Jun 24 19:47:39 2013	1372103259	0	270	270	267
Mon Jun 24 19:47:35 2013	1372103255	0	270	270	267
Mon Jun 24 19:47:32 2013	1372103252	0	270	270	268
Mon Jun 24 19:47:29 2013	1372103249	0	270	270	268
Mon Jun 24 19:47:34 2013	1372103254	0	270	270	268
Mon Jun 24 19:47:33 2013	1372103253	0	270	270	268
Mon Jun 24 19:47:28 2013	1372103248	0	270	270	267
Mon Jun 24 19:47:28 2013	1372103248	0	270	270	268
Mon Jun 24 19:47:42 2013	1372103262	0	270	270	268
Mon Jun 24 19:47:31 2013	1372103251	0	270	271	267
Mon Jun 24 19:47:41 2013	1372103261	0	270	271	268
Mon Jun 24 19:47:18 2013	1372103238	0	271	271	267
Mon Jun 24 19:47:40 2013	1372103260	0	271	271	268
Mon Jun 24 19:47:18 2013	1372103238	0	271	271	268
Mon Jun 24 19:47:23 2013	1372103243	0	271	271	268
Mon Jun 24 19:47:28 2013	1372103248	0	270	271	268
Mon Jun 24 19:47:42 2013	1372103262	0	271	271	267
Mon Jun 24 19:47:31 2013	1372103251	0	271	271	268
Mon Jun 24 19:47:36 2013	1372103256	0	270	271	268
Mon Jun 24 19:47:34 2013	1372103254	0	271	271	268
Mon Jun 24 19:47:26 2013	1372103246	0	271	271	268
Mon Jun 24 19:47:38 2013	1372103258	0	271	271	268
Mon Jun 24 19:47:37 2013	1372103257	0	271	271	267
Mon Jun 24 19:47:22 2013	1372103242	0	271	271	268
Mon Jun 24 19:47:35 2013	1372103255	0	271	271	268
Mon Jun 24 19:47:35 2013	1372103255	0	271	271	268
Mon Jun 24 19:47:22 2013	1372103242	0	271	271	268
Mon Jun 24 19:47:41 2013	1372103261	0	271	271	268
Mon Jun 24 19:47:26 2013	1372103246	0	271	271	269
Mon Jun 24 19:47:26 2013	1372103246	0	271	271	268
Mon Jun 24 19:47:33 2013	1372103253	0	271	271	268
Mon Jun 24 19:47:43 2013	1372103263	0	271	271	268
Mon Jun 24 19:47:25 2013	1372103245	0	271	271	268
Mon Jun 24 19:47:27 2013	1372103247	0	271	271	269
Mon Jun 24 19:47:23 2013	1372103243	0	271	271	268
Mon Jun 24 19:47:43 2013	1372103263	0	271	271	269
Mon Jun 24 19:47:19 2013	1372103239	0	271	271	268
Mon Jun 24 19:47:30 2013	1372103250	0	271	271	269
Mon Jun 24 19:47:35 2013	1372103255	0	272	272	269
Mon Jun 24 19:47:33 2013	1372103253	0	271	272	269
Mon Jun 24 19:47:29 2013	1372103249	0	272	272	269
Mon Jun 24 19:47:41 2013	1372103261	0	272	272	269
Mon Jun 24 19:47:30 2013	1372103250	0	272	272	269
Mon Jun 24 19:47:41 2013	1372103261	0	272	272	269
Mon Jun 24 19:47:36 2013	1372103256	0	272	272	269
Mon Jun 24 19:47:24 2013	1372103244	0	272	272	269
Mon Jun 24 19:47:19 2013	1372103239	0	272	272	269
Mon Jun 24 19:47:39 2013	1372103259	0	272	272	269
Mon Jun 24 19:47:24 2013	1372103244	0	272	272	270
Mon Jun 24 19:47:30 2013	1372103250	0	272	272	269
Mon Jun 24 19:47:32 2013	1372103252	0	272	272	269
Mon Jun 24 19:47:37 2013	1372103257	0	272	272	270
Mon Jun 24 19:47:34 2013	1372103254	0	272	272	268
Mon Jun 24 19:47:42 2013	1372103262	0	272	272	268
Mon Jun 24 19:47:29 2013	1372103249	0	272	272	270
Mon Jun 24 19:47:23 2013	1372103243	0	272	272	269
Mon Jun 24 19:47:20 2013	1372103240	0	272	272	270
Mon Jun 24 19:47:43 2013	1372103263	0	272	272	269
Mon Jun 24 19:47:21 2013	1372103241	0	273	273	269
Mon Jun 24 19:47:40 2013	1372103260	0	273	273	270
Mon Jun 24 19:47:32 2013	1372103252	0	273	273	270
Mon Jun 24 19:47:39 2013	1372103259	0	273	273	270
Mon Jun 24 19:47:33 2013	1372103253	0	273	273	271
Mon Jun 24 19:47:19 2013	1372103239	0	273	273	270
Mon Jun 24 19:47:27 2013	1372103247	0	273	273	270
Mon Jun 24 19:47:38 2013	1372103258	0	274	274	271
Mon Jun 24 19:47:25 2013	1372103245	0	274	274	270
Mon Jun 24 19:47:25 2013	1372103245	0	274	274	271
Mon Jun 24 19:47:17 2013	1372103237	0	274	274	271
Mon Jun 24 19:47:19 2013	1372103239	0	274	274	272
Mon Jun 24 19:47:43 2013	1372103263	0	274	274	270
Mon Jun 24 19:47:28 2013	1372103248	0	274	274	270
Mon Jun 24 19:47:20 2013	1372103240	0	274	275	272
Mon Jun 24 19:47:23 2013	1372103243	0	275	275	272
