dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.5	1.0	0.0	0.6	1.4	0.6	24928.5	0.8	165
40	0.9	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
60	0.4	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
80	1.0	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
100	1.0	1.0	0.0	0.1	1.0	0.3	45758.1	0.3	1111.11111111111
120	1.1	1.0	0.0	0.1	1.6	0.4	44517.5	0.4	714.285714285714
140	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
160	0.9	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
180	1.0	1.0	0.0	0.1	1.2	0.3	45646.9	0.3	1000
200	1.1	1.0	0.0	0.1	1.4	0.3	46589.3	0.4	1111.11111111111
