dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.5	1.0	0.0	0.6	1.4	0.6	25007.1	0.8	167.796610169492
40	1.0	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
60	1.0	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
80	1.0	1.0	0.0	0.1	1.2	0.3	46420.9	0.3	1000
100	1.1	1.0	0.0	0.2	1.4	0.4	43014.0	0.4	588.235294117647
120	1.0	1.0	0.0	0.0	1.0	0.2	47896.2	0.3	2000
140	1.1	1.0	0.0	0.2	1.2	0.4	42556.8	0.4	588.235294117647
160	1.0	1.0	0.0	0.1	1.2	0.3	47905.0	0.3	1666.66666666667
180	1.2	1.0	0.0	0.2	1.4	0.5	42480.9	0.4	500
200	1.1	1.0	0.0	0.1	1.2	0.3	45500.9	0.4	833.333333333333
