dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	0.9	0.9	0.8	0.9	1.0	0.1	5253.0	4.1	0
40	0.7	0.7	0.6	0.6	0.6	0.0	7956.7	3.2	0
60	0.7	0.7	0.6	0.6	0.6	0.0	8417.1	3.1	0
80	0.7	0.7	0.6	0.6	0.6	0.0	8089.2	3.1	0
100	0.7	0.7	0.6	0.6	0.6	0.0	8418.7	3.1	0
120	0.8	0.8	0.6	0.8	1.0	0.3	6702.2	3.8	0
140	0.7	0.7	0.6	0.6	0.6	0.0	8208.7	3.2	0
160	0.8	0.8	0.4	0.7	1.0	0.4	7546.6	3.7	0
180	0.8	0.8	0.6	0.7	0.8	0.1	7200.9	3.6	0
200	0.7	0.7	0.6	0.7	0.8	0.1	7387.2	3.3	0
