dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	0.6	0.6	0.4	0.5	0.6	0.1	9398.3	3.5	0
40	0.5	0.5	0.4	0.5	0.6	0.1	10426.9	3.3	0
60	0.6	0.6	0.4	0.6	0.8	0.2	9209.6	3.6	0
80	0.6	0.6	0.4	0.5	0.6	0.1	10123.2	3.4	0
100	0.6	0.6	0.4	0.5	0.6	0.1	9369.1	3.5	0
120	0.6	0.6	0.4	0.5	0.6	0.1	9401.6	3.4	0
140	0.5	0.5	0.4	0.5	0.6	0.1	10659.6	3.2	0
160	0.5	0.5	0.4	0.5	0.6	0.1	10451.7	3.1	0
180	0.5	0.5	0.4	0.5	0.6	0.1	10393.0	3.1	0
200	0.5	0.5	0.4	0.5	0.6	0.1	10118.8	3.3	0
