dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	3.7	2.4	1.6	2.4	3.8	0.7	25350.7	8.7	50
40	3.7	2.5	1.6	2.5	3.8	0.8	25690.0	8.8	51.5151515151515
60	3.8	2.5	1.6	2.5	4.0	0.8	25609.4	8.7	53.0612244897959
80	3.7	2.5	1.8	2.5	3.6	0.8	26260.9	8.9	50
100	3.8	2.5	1.6	2.5	3.8	0.8	25775.9	8.6	53.8461538461538
120	3.7	2.5	1.8	2.4	3.8	0.8	26228.2	8.6	53.0612244897959
140	3.7	2.5	1.6	2.4	3.8	0.8	26003.2	8.5	54.639175257732
160	3.7	2.5	0.4	2.3	3.8	1.0	25001.3	8.0	60.427807486631
180	3.6	2.4	1.0	2.4	3.6	0.9	27809.6	8.5	50.7537688442211
200	3.7	2.5	1.8	2.5	4.0	0.8	26047.9	8.7	52.2842639593909
