dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.2	1.0	0.0	0.3	0.8	0.3	27563.7	1.8	344.827586206897
40	0.8	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
60	0.4	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
80	0.2	1.2	0.0	0.0	0.0	0.0	0.0	0.1	101
100	0.2	1.2	0.0	0.0	0.0	0.0	0.0	0.0	101
120	0.1	1.2	0.0	0.0	0.0	0.0	0.0	0.0	101
140	0.1	1.2	0.0	0.0	0.0	0.0	0.0	0.0	101
160	0.1	1.2	0.0	0.0	0.0	0.0	0.0	0.0	101
180	0.1	1.2	0.0	0.0	0.0	0.0	0.0	0.0	101
200	0.1	1.2	0.0	0.0	0.0	0.0	0.0	0.0	101
