dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	2.5	2.5	0.0	0.0	0.0	0.0	22740.4	0.9	614.285714285714
40	17.5	17.5	17.8	17.8	17.8	0.0	1604.0	37.4	0
60	16.7	16.7	16.8	16.8	16.8	0.0	2171.9	35.8	0
80	17.8	17.8	18.0	18.0	18.0	0.0	2147.0	38.1	0
100	15.9	15.9	16.0	16.0	16.0	0.0	2668.6	34.0	0
120	19.1	19.1	18.8	18.8	18.8	0.0	2452.4	40.9	0
140	18.4	18.4	18.0	18.0	18.0	0.0	2336.8	39.5	0
160	18.8	18.8	18.8	18.8	18.8	0.0	2194.4	40.2	0
180	18.3	18.3	17.6	17.6	17.6	0.0	2582.6	39.1	0
200	16.7	16.7	16.6	16.6	16.6	0.0	2815.5	35.8	0
