dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	2.9	2.9	1.4	1.5	1.6	0.1	15045.0	12.3	104.081632653061
40	2.1	2.1	0.0	0.0	0.0	0.0	0.0	0.1	101
60	1.8	2.2	0.0	0.0	0.0	0.0	0.0	0.1	101
80	1.5	2.2	0.0	0.0	0.0	0.0	0.0	0.1	101
100	1.6	2.2	0.0	0.0	0.0	0.0	0.0	0.1	101
120	1.5	2.2	0.0	0.0	0.0	0.0	0.0	0.1	101
140	1.5	2.2	0.0	0.0	0.0	0.0	0.0	0.1	101
160	1.6	2.2	0.0	0.0	0.0	0.0	0.0	0.1	101
180	1.5	2.2	0.0	0.0	0.0	0.0	0.0	0.1	101
200	1.6	2.2	0.0	0.0	0.0	0.0	0.0	0.1	101
