dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.5	2.0	0.0	0.0	0.0	0.0	0.0	0.2	101
40	1.6	2.1	0.0	0.0	0.0	0.0	0.0	0.2	101
60	2.1	2.1	0.0	0.2	2.2	0.7	27524.4	1.3	809.090909090909
80	2.6	2.6	0.0	0.8	2.6	1.2	24790.6	3.5	270.37037037037
100	2.2	2.2	0.0	0.4	2.4	0.8	26357.9	1.9	488.235294117647
120	2.6	2.6	0.0	0.7	2.4	1.1	24670.6	3.5	284.615384615385
140	2.2	2.2	0.0	0.4	2.4	0.8	26409.6	2.1	455.555555555556
160	2.7	2.7	0.0	0.8	2.6	1.2	24418.4	3.8	244.827586206897
180	2.2	2.2	0.0	0.5	2.6	0.9	26055.4	2.3	376.190476190476
200	2.7	2.7	0.0	0.9	2.4	1.1	23601.9	4.3	212.5
