dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	3.4	3.4	0.0	2.1	10.6	4.7	22186.7	12.9	0
40	11.2	11.2	11.0	11.0	11.0	0.0	3216.9	41.8	0
60	12.2	12.2	11.8	11.8	11.8	0.0	3321.2	45.7	0
80	11.4	11.4	11.2	11.2	11.2	0.0	3844.9	42.5	0
100	12.6	12.6	13.4	13.4	13.4	0.0	3407.6	47.1	0
120	11.6	11.6	11.2	11.2	11.2	0.0	4009.2	43.3	0
140	11.1	11.1	11.2	11.2	11.2	0.0	4103.5	41.6	0
160	11.2	11.2	11.4	11.4	11.4	0.0	4131.2	41.9	0
180	11.2	11.2	11.0	11.0	11.0	0.0	4307.5	41.7	0
200	12.2	12.2	12.2	12.2	12.2	0.0	3850.5	45.4	0
