dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	6.0	6.0	5.8	6.0	6.2	0.2	5933.9	15.1	0
40	5.9	5.9	5.8	5.9	6.0	0.1	7347.7	14.7	0
60	5.9	5.9	5.8	5.9	6.0	0.1	7722.5	14.8	0
80	6.0	6.0	5.8	5.9	6.0	0.1	7773.8	15.1	0
100	6.2	6.2	6.0	6.1	6.2	0.1	7644.1	15.4	0
120	5.9	5.9	5.8	5.9	6.0	0.1	8200.6	14.8	0
140	5.9	5.9	5.8	5.9	6.0	0.1	8166.3	14.8	0
160	5.9	5.9	5.6	5.9	6.0	0.2	8299.5	14.8	0
180	6.1	6.1	6.0	6.0	6.0	0.0	8050.9	15.2	0
200	6.0	6.0	5.8	6.0	6.4	0.3	8103.7	15.1	0
