dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	9.7	9.7	9.4	9.5	9.6	0.1	2887.2	39.8	0
40	9.9	9.9	9.6	9.8	10.0	0.3	3958.6	40.6	0
60	10.1	10.1	9.6	9.6	9.6	0.0	4268.5	41.4	0
80	10.0	10.0	9.8	9.8	9.8	0.0	4492.3	41.0	0
100	10.1	10.1	9.4	9.4	9.4	0.0	4598.5	41.3	0
120	10.4	10.4	10.0	10.0	10.0	0.0	4590.1	42.7	0
140	10.1	10.1	10.0	10.0	10.0	0.0	4745.8	41.5	0
160	10.3	10.3	10.2	10.2	10.2	0.0	4679.5	42.4	0
180	10.3	10.3	10.0	10.0	10.0	0.0	4740.9	42.1	0
200	10.1	10.1	9.6	9.6	9.6	0.0	4895.3	41.4	0
